Vendor # @	Vendor Creation Date	Vendor name	Vendor country key	Vendor Type Description	Vendor Material type	company_code	Region Description	Posting Block for Company Code	Business Unit
1185429	2/9/24	ir nc. F	US	NPO	HR	1114	North America		U7599
1185429	2/9/24	ir nc. F	US	NPO	HR	1210	North America		U7599
1185428	2/9/24	nroIncon	US	PO	HR	2602	EMEA		
1185428	2/9/24	O SDIOST	FR	PO	Marketing & Creative	2300	EMEA		
1185427	2/8/24	Tdeerke 	ZA	PO	Professional Services	2602	EMEA		
1185426	2/7/24	b  tes A	MY	PO	Professional Services	3100	APAC		
1185426	2/7/24	b  tes A	MY	PO	Professional Services	3136	APAC		
1185426	2/7/24	b  tes A	MY	PO	Professional Services	6000	India		
1185426	2/7/24	RKRNSKRI	DK	NPO	HR	2460	EMEA		U7599
1185425	2/6/24	oheteder	GB	PO	Learning & Development	2300	EMEA		
1185425	2/6/24	ralLLPl 	IN	PO	Events	6000	India		
1185425	2/6/24	ralLLPl 	IN	PO	Events	6012	India		
1185424	2/6/24	celLawl 	GB	NPO	HR	2150	EMEA		U8012
1185423	2/6/24	N TTİCTE	TR	PO	Hardware	2118	EMEA		
1185423	2/2/24	lT LC. T	US	PO	Contingent Workforce	1210	North America		
1185422	2/2/24	Horionrp	US	PO	Contingent Workforce	1210	North America		
1185422	2/2/24	MAdLtddv	GB	PO	Marketing & Creative	2300	EMEA		
1185421	2/2/24	Nongians	BR	PO	Contingent Workforce	2602	EMEA		
1185420	2/2/24	yilLLPll	CA	NPO	HR	1900	North America		U8012
1185420	2/2/24	INTNC.T 	US	PO	Contingent Workforce	1100	North America		
1185420	2/2/24	INTNC.T 	US	PO	Contingent Workforce	1210	North America		
1185420	2/2/24	INTNC.T 	US	PO	Contingent Workforce	2300	EMEA		
1185419	2/2/24	iennaln 	CA	NPO	HR	1900	North America		U8012
1185419	2/1/24	cogiongi	US	PO	Hardware	1100	North America		
1185418	2/1/24	tn ice B	IL	NPO	HR	5000	ISR		U7599
1185418	2/1/24	tm LLP  	US	NPO	Professional Services	1210	North America		U7951
1185417	2/1/24	y SLLPSo	IE	NPO	HR	2142	EMEA		U8012
1185416	2/1/24	SIMTEDMI	GB	PO	Contingent Workforce	1334	North America		
1185416	2/1/24	TLATEDAT	IN	NPO	Contingent Workforce	1330	North America		
1185416	2/1/24	TLATEDAT	IN	NPO	Contingent Workforce	1332	North America		
1185416	2/1/24	TLATEDAT	IN	NPO	Contingent Workforce	6000	India		
1185415	2/1/24	 RRRRBRB	IN	PO	HR	6000	India		
1185415	2/1/24	 RRRRBRB	IN	PO	HR	6060	India		
1185415	1/31/24	P SONSSO	IN	PO	IT Services	1334	North America		
1185414	1/31/24	O BDDYBU	IE	PO	Software	1334	North America		
1185413	1/31/24	lextd.x 	IL	NPO	Professional Services	5000	ISR		
1185413	1/31/24	id LTD P	IL	PO	Marketing & Creative	2150	EMEA		
1185412	1/31/24	lriLtdid	GB	PO	HR	1116	North America		
1185412	1/30/24	uersonrn	US	PO	Contingent Workforce	1210	North America		
1185411	1/30/24	sonLLCnI	US	PO	Contingent Workforce	1210	North America		
1185410	1/30/24	vOaanyak	US	PO	Contingent Workforce	1210	North America		
1185410	1/30/24	rNuersum	GB	PO	Events	2300	EMEA		
1185409	1/30/24	  DLLCDo	US	PO	Real Estate	1100	North America		
1185409	1/29/24	MTO.A.OS	CO	PO	Real Estate	4110	CALA		
1185408	1/29/24	gsiistis	US	PO	Contingent Workforce	1210	North America		
1185408	1/29/24	nElnc.le	US	PO	Contingent Workforce	1210	North America		
1185407	1/29/24	CInnc.nc	US	PO	Contingent Workforce	1210	North America		
1185406	1/29/24	y EingEn	US	PO	Contingent Workforce	1210	North America		
1185406	1/29/24	NirLLCre	US	PO	Contingent Workforce	1210	North America		
1185405	1/29/24	tna.P.al	US	PO	Contingent Workforce	1210	North America		
1185405	1/29/24	c, LLC L	US	PO	Contingent Workforce	1210	North America		
1185404	1/29/24	n EiceEl	US	PO	Contingent Workforce	1210	North America		
